index,location,continent,total_cases,total_cases_per_million,total_deaths,total_deaths_per_million,people_vaccinated,people_fully_vaccinated,total_boosters,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,life_expectancy,human_development_index
155,Slovakia,Europe,1868111,331022.574,21167,3750.717,2595901,2577827,684026,46,45.68,12.12,5643455,113.128,41.2,15.07,9.167,30155.152,77.54,0.86
156,Slovenia,Europe,1346628,635248.931,9467,4465.897,1265802,1222225,657967,59.71,57.66,31.04,2119843,102.619,44.5,19.062,12.93,31400.84,81.32,0.917
157,Spain,Europe,13980340,293960.095,121852,2562.143,41351234,40739123,26559282,86.95,85.66,55.85,47558632,93.105,45.5,19.436,13.799,34272.36,83.56,0.904
158,Sweden,Europe,2720686,257900.843,24998,2369.625,7775726,7593676,9836355,73.71,71.98,93.24,10549349,24.718,41,19.985,13.433,46949.283,82.8,0.945
159,Switzerland,Europe,4418749,505550.445,14079,1610.783,6096911,NaN,4885838,69.75,NaN,55.9,8740471,214.243,43.1,18.436,12.644,57410.166,83.78,0.955
160,Ukraine,Europe,5520483,139048.879,109918,2768.594,15774300,15153577,741197,39.73,38.17,1.87,39701744,77.39,41.4,16.462,11.133,7894.393,72.06,0.779
161,United Kingdom,Europe,24796408,367305.567,230974,3421.384,53813491,50762968,40373987,79.71,75.19,59.81,67508936,272.898,40.8,18.517,12.527,39753.244,81.32,0.932
162,Vatican,Europe,26,32178.218,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,808,NaN,NaN,NaN,NaN,NaN,75.12,NaN
163,Wales,Europe,NaN,NaN,NaN,NaN,2592226,2477109,4064651,81.77,78.14,128.22,3170000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
164,Anguilla,North America,3904,245890.282,12,755.81,10854,10380,3309,68.36,65.38,20.84,15877,NaN,NaN,NaN,NaN,NaN,81.88,NaN
165,Antigua and Barbuda,North America,9106,97107.879,146,1556.968,64290,62384,9838,68.56,66.53,10.49,93772,231.845,32.1,6.933,4.631,21490.943,77.02,0.778
166,Aruba,North America,44224,415408.749,292,2742.84,90486,84344,NaN,85,79.23,NaN,106459,584.8,41.2,13.085,7.452,35973.781,76.29,NaN
167,Bahamas,North America,38084,92890.297,844,2058.592,174810,166972,36965,42.64,40.73,9.02,409989,39.497,34.3,8.996,5.2,27717.847,73.92,0.814
168,Barbados,North America,110091,390884.302,620,2201.345,163846,155036,62839,58.17,55.05,22.31,281646,664.463,39.8,14.952,9.473,16978.068,79.19,0.814
169,Belize,North America,71060,175333.407,688,1697.571,258473,221402,53198,63.78,54.63,13.13,405285,16.426,25,3.853,2.279,7824.362,74.62,0.716
170,Bermuda,North America,18860,293737.443,165,2569.813,48554,47657,35831,75.62,74.22,55.81,64207,1308.82,NaN,NaN,NaN,50669.315,82.59,NaN
171,Bonaire Sint Eustatius and Saba,North America,11922,440706.787,41,1515.6,19109,16736,NaN,70.64,61.87,NaN,27052,NaN,NaN,NaN,NaN,NaN,77.79,NaN
172,British Virgin Islands,North America,7305,233148.219,64,2042.64,19466,18261,3726,62.13,58.28,11.89,31332,207.973,NaN,NaN,NaN,NaN,79.07,NaN
173,Canada,North America,4716205,122644.322,53297,1385.982,34763194,31762130,30431178,90.4,82.6,79.14,38454328,4.037,41.4,16.984,10.797,44017.591,82.43,0.929
174,Cayman Islands,North America,31472,457961.061,37,538.401,62085,60664,24064,90.34,88.27,35.02,68722,256.496,NaN,NaN,NaN,49903.029,83.92,NaN
175,Costa Rica,North America,1238884,239128.202,9428,1819.784,4641899,4358863,2957974,89.6,84.13,57.09,5180836,96.079,33.6,9.468,5.694,15524.995,80.28,0.81
176,Cuba,North America,1115103,99454.451,8530,760.779,10768788,10031911,8772388,96.05,89.47,78.24,11212198,110.408,43.1,14.738,9.719,NaN,78.8,0.783
177,Curacao,North America,45883,240007.742,305,1595.414,108601,100885,49213,56.81,52.77,25.74,191173,362.644,41.7,16.367,10.068,NaN,78.88,NaN
